J	Kt	Kq	10Kq	eta	side
0.1000000	0.6015382	0.1464440	1.4644403	0.0653750	port
0.2000000	0.5937574	0.1449700	1.4496995	0.1303710	port
0.3000000	0.5510412	0.1349729	1.3497288	0.1949301	port
0.4000000	0.5360780	0.1322349	1.3223492	0.2580845	port
0.5000000	0.4937761	0.1226449	1.2264490	0.3203839	port
0.6000000	0.4534420	0.1139928	1.1399277	0.3798532	port
0.7000000	0.3963127	0.1012747	1.0127467	0.4359688	port
0.8000000	0.3507518	0.0909149	0.9091491	0.4912187	port
0.9000000	0.3245618	0.0859834	0.8598345	0.5406860	port
1.0000000	0.2638091	0.0733631	0.7336314	0.5723107	port
1.1000000	0.2168991	0.0638560	0.6385599	0.5946602	port
1.2000000	0.1724721	0.0545525	0.5455251	0.6038172	port
1.3000000	0.1232819	0.0431228	0.4312276	0.5915019	port
1.4000000	0.0800273	0.0328552	0.3285519	0.5427282	port
1.5000000	0.0258365	0.0211425	0.2114252	0.2917347	port
1.6000000	-0.0268493	0.0092324	0.0923237	-0.7405578	port
1.7000000	-0.1004456	-0.0067590	-0.0675903	4.0208268	port
					
					
0.1000000	0.6001929	-0.1463870	1.4638699	0.0652542	starboard
0.2000000	0.5775497	-0.1412709	1.4127089	0.1301328	starboard
0.3000000	0.5446615	-0.1338951	1.3389511	0.1942242	starboard
0.4000000	0.5067659	-0.1255904	1.2559036	0.2568806	starboard
0.5000000	0.4781683	-0.1196655	1.1966552	0.3179815	starboard
0.6000000	0.4334483	-0.1100048	1.1000481	0.3762678	starboard
0.7000000	0.3930549	-0.1015228	1.0152280	0.4313281	starboard
0.8000000	0.3482930	-0.0922071	0.9220712	0.4809396	starboard
0.9000000	0.2940207	-0.0801907	0.8019071	0.5251901	starboard
1.0000000	0.2529858	-0.0719268	0.7192683	0.5597904	starboard
1.1000000	0.2100019	-0.0633186	0.6331859	0.5806372	starboard
1.2000000	0.1652266	-0.0539007	0.5390074	0.5854456	starboard
1.3000000	0.1173831	-0.0433958	0.4339578	0.5596566	starboard
1.4000000	0.0678431	-0.0320180	0.3201798	0.4721280	starboard
1.5000000	0.0083055	-0.0191626	0.1916263	0.1034715	starboard
1.6000000	-0.0432336	-0.0083005	0.0830055	-1.3263379	starboard
1.7000000	-0.1133591	0.0078411	-0.0784111	3.9115415	starboard
